original_id,name,information
196,"  
","ದಾಸರ ಹೆಸರು :  
ಜನ್ಮ ಸ್ಥಳ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಂದೆ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಾಯಿ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕಾಲ : 0-
ಅಂಕಿತನಾಮ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಲಭ್ಯ ಕೀರ್ತನೆಗಳ ಸಂಖ್ಯೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಗುರುವಿನ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಆಶ್ರಯ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ರೂಪ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಪೂರ್ವಾಶ್ರಮದ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಮಕ್ಕಳು: ಅವರ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕೀರ್ತನೆಗಳಲ್ಲದೆ ಇತರ ಲಭ್ಯ ಕೈತಿಗಳು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಪತಿ: ಪತ್ನಿಯ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಒಡಹುಟ್ಟಿದವರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ವೃತ್ತಿ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕಾಲವಾದ ಸ್ಥಳ ಮತ್ತು ದಿನ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ವೃಂದಾವನ ಇರುವ ಸ್ಥಳ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕೃತಿಯ ವೈಶಿಷ್ಟ್ಯ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಜಿಲೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಾಲುಕ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಗ್ರಾಮ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಇತರೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
"
152,"  ಶ್ರೀವಾದಿರಾಜರ ದೀರ್ಘP Àೃತಿಗಳು
","ದಾಸರ ಹೆಸರು :  ಶ್ರೀವಾದಿರಾಜರ ದೀರ್ಘP Àೃತಿಗಳು
ಜನ್ಮ ಸ್ಥಳ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಂದೆ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಾಯಿ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕಾಲ : 0-
ಅಂಕಿತನಾಮ ; ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಲಭ್ಯ ಕೀರ್ತನೆಗಳ ಸಂಖ್ಯೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಗುರುವಿನ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಆಶ್ರಯ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ರೂಪ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಪೂರ್ವಾಶ್ರಮದ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಮಕ್ಕಳು: ಅವರ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕೀರ್ತನೆಗಳಲ್ಲದೆ ಇತರ ಲಭ್ಯ ಕೈತಿಗಳು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಪತಿ: ಪತ್ನಿಯ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಒಡಹುಟ್ಟಿದವರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ವೃತ್ತಿ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕಾಲವಾದ ಸ್ಥಳ ಮತ್ತು ದಿನ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ವೃಂದಾವನ ಇರುವ ಸ್ಥಳ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕೃತಿಯ ವೈಶಿಷ್ಟ್ಯ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಜಿಲೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಾಲುಕ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಗ್ರಾಮ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಇತರೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
"
201," ಂbouಣ ಏeeಡಿಣhಚಿಟಿಚಿ
","ದಾಸರ ಹೆಸರು : ಂbouಣ ಏeeಡಿಣhಚಿಟಿಚಿ
ಜನ್ಮ ಸ್ಥಳ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಂದೆ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಾಯಿ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕಾಲ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಅಂಕಿತನಾಮ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಲಭ್ಯ ಕೀರ್ತನೆಗಳ ಸಂಖ್ಯೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಗುರುವಿನ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಆಶ್ರಯ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ರೂಪ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಪೂರ್ವಾಶ್ರಮದ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಮಕ್ಕಳು: ಅವರ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕೀರ್ತನೆಗಳಲ್ಲದೆ ಇತರ ಲಭ್ಯ ಕೈತಿಗಳು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಪತಿ: ಪತ್ನಿಯ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಒಡಹುಟ್ಟಿದವರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ವೃತ್ತಿ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕಾಲವಾದ ಸ್ಥಳ ಮತ್ತು ದಿನ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ವೃಂದಾವನ ಇರುವ ಸ್ಥಳ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕೃತಿಯ ವೈಶಿಷ್ಟ್ಯ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಜಿಲೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಾಲುಕ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಗ್ರಾಮ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಇತರೆ : vಚಿಡಿmಚಿ
"
31," ಅಂಬಾಬಾಯಿ
","ದಾಸರ ಹೆಸರು : ಅಂಬಾಬಾಯಿ
ಜನ್ಮ ಸ್ಥಳ : ಚಿತ್ರದುರ್ಗ
ತಂದೆ ಹೆಸರು : ಭೀಮಸೇನರಾಯರು
ತಾಯಿ ಹೆಸರು : ಭಾರತೀ ಬಾಯಿ
ಕಾಲ : 1902-
ಅಂಕಿತನಾಮ : ಗೋಪಾಲ ಕೃಷ್ಣವಿಠಲ
ಲಭ್ಯ ಕೀರ್ತನೆಗಳ ಸಂಖ್ಯೆ : 300
ಗುರುವಿನ ಹೆಸರು : ತಂದೆ ಮುದ್ದು ಮೋಹನ ದಾಸರು, ದೇವರಾಯನದುರ್ಗ
ಆಶ್ರಯ : ಅಣ್ಣ
ರೂಪ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಪೂರ್ವಾಶ್ರಮದ ಹೆಸರು : ಶ್ರೀಮತಿ ಅಂಬಾಬಾಯಿ
ಮಕ್ಕಳು: ಅವರ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕೀರ್ತನೆಗಳಲ್ಲದೆ ಇತರ ಲಭ್ಯ ಕೈತಿಗಳು : ತತ್ವಸಾರಾಮೃತ, ಭಗವತಸಾರೋದ್ಧಾರಕಾವ್ಯ, ಚಾಮುಂಡಿಸ್ತುತಿ ರಾಮ ಕಥಾಮೃತ ಕಾವ್ಯ - ಇತ್ಯಾದಿ 17 ದೀರ್ಘಕೃತಿಗಳು.
ಪತಿ: ಪತ್ನಿಯ ಹೆಸರು : ಹನುಮಂತಾಚಾರ್ಯ
ಒಡಹುಟ್ಟಿದವರು : ಅಣ್ಣ : ಶ್ರೀ ನಿ. ಕೃಷ್ಣರಾಯರು,  ತಂಗಿ : ಶ್ರೀಮತಿ ಸೀತಾಬಾು
ವೃತ್ತಿ : ಹರಿದಾಸ ವೃತ್ತಿ
ಕಾಲವಾದ ಸ್ಥಳ ಮತ್ತು ದಿನ : 1943
ವೃಂದಾವನ ಇರುವ ಸ್ಥಳ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕೃತಿಯ ವೈಶಿಷ್ಟ್ಯ : ಶುದ್ಧಭಾಷೆ, ಲಯಜ್ಞಾನ, ವಿವಿಧ ಛಂದೋರೂಪಗಳ ಪರಿಚಯ ಭಾರತ, ಭಾಗವತ, ಪುರಾಣಗಳ ಆದ್ಯರ್ಯದಿಂದ ಪಡೆದುಕೊಂಡ ಪುರಾಣಪ್ರಜೆÕ ನಿರೂಪಣಾಚಾತುರ್ಯ - ಇವುಗಳಿಂದ ಅಂಬಾಬಾಯಿ ಅವರ ಕೃತಿಗಳು ಗಮನಸೆಳೆಯುತ್ತವೆ.
ಜಿಲೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಾಲುಕ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಗ್ರಾಮ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಇತರೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
"
148," ಅಚಲಾನಂದದಾಸ 
","ದಾಸರ ಹೆಸರು : ಅಚಲಾನಂದದಾಸ 
ಜನ್ಮ ಸ್ಥಳ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಂದೆ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಾಯಿ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕಾಲ : 0-
ಅಂಕಿತನಾಮ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಲಭ್ಯ ಕೀರ್ತನೆಗಳ ಸಂಖ್ಯೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಗುರುವಿನ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಆಶ್ರಯ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ರೂಪ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಪೂರ್ವಾಶ್ರಮದ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಮಕ್ಕಳು: ಅವರ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕೀರ್ತನೆಗಳಲ್ಲದೆ ಇತರ ಲಭ್ಯ ಕೈತಿಗಳು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಪತಿ: ಪತ್ನಿಯ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಒಡಹುಟ್ಟಿದವರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ವೃತ್ತಿ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕಾಲವಾದ ಸ್ಥಳ ಮತ್ತು ದಿನ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ವೃಂದಾವನ ಇರುವ ಸ್ಥಳ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕೃತಿಯ ವೈಶಿಷ್ಟ್ಯ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಜಿಲೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಾಲುಕ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಗ್ರಾಮ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಇತರೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
"
136," ಅಜಾÕತ
","ದಾಸರ ಹೆಸರು : ಅಜಾÕತ
ಜನ್ಮ ಸ್ಥಳ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಂದೆ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಾಯಿ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕಾಲ : 0-
ಅಂಕಿತನಾಮ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಲಭ್ಯ ಕೀರ್ತನೆಗಳ ಸಂS : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಗುರುವಿನ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಆಶ್ರಯ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ರೂಪ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಪೂರ್ವಾಶ್ರಮದ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಮಕ್ಕಳು: ಅವರ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕೀರ್ತನೆಗಳಲ್ಲದೆ ಇತರ ಲಭ್ಯ ಕೈತಿಗಳು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಪತಿ:ಪತ್ನಿಯ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಒಡಹುಟ್ಟಿದವರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ವೃತ್ತಿ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕಾಲವಾದ ಸ್ಥಳ ಮತ್ತು ದಿನ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ವೃಂದಾವನ ಇರುವ ಸ್ಥಳ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕೃತಿಯ ವೈಶಿಷ್ಟ್ಯ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಜಿಲೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಾಲುಕ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಗ್ರಾಮ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಇತರೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
"
151," ಅನಂತಾದ್ರೀಶ - ಕಥನಕಾವ್ಯಗಳು
","ದಾಸರ ಹೆಸರು : ಅನಂತಾದ್ರೀಶ - ಕಥನಕಾವ್ಯಗಳು
ಜನ್ಮ ಸ್ಥಳ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಂದೆ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಾಯಿ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕಾಲ : 0-
ಅಂಕಿತನಾಮ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಲಭ್ಯ ಕೀರ್ತನೆಗಳ ಸಂಖ್ಯೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಗುರುವಿನ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಆಶ್ರಯ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ರೂಪ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಪೂರ್ವಾಶ್ರಮದ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಮಕ್ಕಳು: ಅವರ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕೀರ್ತನೆಗಳಲ್ಲದೆ ಇತರ ಲಭ್ಯ ಕೈತಿಗಳು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಪತಿ: ಪತ್ನಿಯ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಒಡಹುಟ್ಟಿದವರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ವೃತ್ತಿ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕಾಲವಾದ ಸ್ಥಳ ಮತ್ತು ದಿನ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ವೃಂದಾವನ ಇರುವ ಸ್ಥಳ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕೃತಿಯ ವೈಶಿಷ್ಟ್ಯ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಜಿಲೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಾಲುಕ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಗ್ರಾಮ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಇತರೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
"
65," ಅನಂತಾದ್ರೀಶರು 
","ದಾಸರ ಹೆಸರು : ಅನಂತಾದ್ರೀಶರು 
ಜನ್ಮ ಸ್ಥಳ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಂದೆ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಾಯಿ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕಾಲ : 0-
ಅಂಕಿತನಾಮ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಲಭ್ಯ ಕೀರ್ತನೆಗಳ ಸಂಖ್ಯೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಗುರುವಿನ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಆಶ್ರಯ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ರೂಪ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಪೂರ್ವಾಶ್ರಮದ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಮಕ್ಕಳು: ಅವರ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕೀರ್ತನೆಗಳಲ್ಲದೆ ಇತರ ಲಭ್ಯ ಕೈತಿಗಳು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಪತಿ: ಪತ್ನಿಯ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಒಡಹುಟ್ಟಿದವರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ವೃತ್ತಿ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕಾಲವಾದ ಸ್ಥಳ ಮತ್ತು ದಿನ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ವೃಂದಾವನ ಇರುವ ಸ್ಥಳ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕೃತಿಯ ವೈಶಿಷ್ಟ್ಯ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಜಿಲೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಾಲುಕ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಗ್ರಾಮ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಇತರೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
"
185," ಅನ್ಯದಾಸರು
","ದಾಸರ ಹೆಸರು : ಅನ್ಯದಾಸರು
ಜನ್ಮ ಸ್ಥಳ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಂದೆ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಾಯಿ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕಾಲ : 0-
ಅಂಕಿತನಾಮ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಲಭ್ಯ ಕೀರ್ತನೆಗಳ ಸಂಖ್ಯೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಗುರುವಿನ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಆಶ್ರಯ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ರೂಪ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಪೂರ್ವಾಶ್ರಮದ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಮಕ್ಕಳು: ಅವರ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕೀರ್ತನೆಗಳಲ್ಲದೆ ಇತರ ಲಭ್ಯ ಕೈತಿಗಳು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಪತಿ: ಪತ್ನಿಯ ಹೆಸರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಒಡಹುಟ್ಟಿದವರು : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ವೃತ್ತಿ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕಾಲವಾದ ಸ್ಥಳ ಮತ್ತು ದಿನ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ವೃಂದಾವನ ಇರುವ ಸ್ಥಳ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕೃತಿಯ ವೈಶಿಷ್ಟ್ಯ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಜಿಲೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಾಲುಕ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಗ್ರಾಮ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಇತರೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
"
107," ಅಸೂರಿ ರಾಮಸ್ವಾಮಿಅಯ್ಯಂಗಾರ್
","ದಾಸರ ಹೆಸರು : ಅಸೂರಿ ರಾಮಸ್ವಾಮಿಅಯ್ಯಂಗಾರ್
ಜನ್ಮ ಸ್ಥಳ : ಕೇರಳಾಪುರ. ಅರಕಲಗೂಡು ತಾ
ತಂದೆ ಹೆಸರು : ಶ್ರೀನಿವಾಸ ಅಯ್ಯಂಗರ್
ತಾಯಿ ಹೆಸರು : ವೆಂಕಟಲಕ್ಷ್ಮಮ್ಮ
ಕಾಲ : 1886-
ಅಂಕಿತನಾಮ : ಮಾಂಗಿರೀಶ
ಲಭ್ಯ ಕೀರ್ತನೆಗಳ ಸಂಖ್ಯೆ : 447
ಗುರುವಿನ ಹೆಸರು : ಸರಗೂರು ವೆಂಕಟವರದಾರ್ಯರು
ಆಶ್ರಯ : ಮನೆದೈವ ಮಾವಿನಕೆರೆ ರಂಗನಾಥನಲ್ಲಿ
ರೂಪ : ಅಸೂರಿ ರಾಮಸ್ವಾಮಿಅಯ್ಯಂಗಾರ್
ಪೂರ್ವಾಶ್ರಮದ ಹೆಸರು : ರಂಗಸ್ವಾಮಿ
ಮಕ್ಕಳು: ಅವರ ಹೆಸರು : 4, ಸ್ವರ್ಣಲಕ್ಷ್ಮೀ (ಮಗಳು, ವೇದದಲ್ಲಿ (ಮಗಳು) ಗೋಪಲಯ್ಯಂಗಾರ್, ನರಸಿಂಹಾಚಾರ್ 
ಕೀರ್ತನೆಗಳಲ್ಲದೆ ಇತರ ಲಭ್ಯ ಕೈತಿಗಳು : 6 ನಾಟಕಗಳು 5 ಷಟ್ಪದಿ ಕಾವ್ಯಗಳೂ ಮತ್ತು ಸಾುಬಾಬಾ ಕುರಿತ ಭಜನೆಗಳು 
ಪತಿ: ಪತ್ನಿಯ ಹೆಸರು : ವೇದವಲ್ಲಿ ಮತ್ತು ಸೀತಮ್ಮ
ಒಡಹುಟ್ಟಿದವರು : ನರಸಿಂಹಯ್ಯಂಗಾರ್, ಶ್ರೀನಿವಾಸಯ್ಯಂಗಾರ್
ವೃತ್ತಿ : ಸರ್ಕಾರಿ ಉದ್ಯೋಗ ಲೋಕೊಪಯೋಗಿ ಇಲಾಖೆ ಲೆಕ್ಕಾಧಿಕಾರಿ
ಕಾಲವಾದ ಸ್ಥಳ ಮತ್ತು ದಿನ : 9-4-1984,ಬೆಂಗಳೂರು
ವೃಂದಾವನ ಇರುವ ಸ್ಥಳ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಕೃತಿಯ ವೈಶಿಷ್ಟ್ಯ : ವಿಶಿಷ್ಟದ್ವೈತ ತ್ವ ಪ್ರತಿಪಾದನೆ ಸಾಮಾಜಿಕ ಚಿಂತನೆ, 
ಜಿಲೆ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ತಾಲುಕ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಗ್ರಾಮ : ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ
ಇತರೆ : ಷಟ್ಪದಿ ಕೃತಿಗಳು ಗಮತಿಗಳಿಗೆ ಪ್ರೇಯವಾಗಿದೆ.
"
