001,ಶ್ರೀವಿಷ್ಣು ವಿಶ್ವಾದಿಮೂಲ ಮಾಯಾಲೋಲ |ದೇವ ಸರ್ವೇಶ ಪರಬೊಮ್ಮನೆಂದು ಜನಂ ||ಆವುದನು ಕಾಣದೊಡಮಳ್ತಿಯಿಂ ನಂಬಿಹುದೊ |ಆ ವಿಚಿತ್ರಕೆ ನಮಿಸೊ - ಮಂಕುತಿಮ್ಮ ||
002,ಜೀವ ಜಡರೂಪ ಪ್ರಪಂಚವನದಾವುದೋ |ಆವರಿಸಿಕೊಂಡುಮೊಳನೆರೆದುಮಿಹುದಂತೆ||ಭಾವಕೊಳಪಡದಂತೆ ಅಳತೆಗಳವಡದಂತೆ |ಆ ವಿಶೇಷಕೆ ಮಣಿಯೊ - ಮಂಕುತಿಮ್ಮ ||
003,ಇಹುದೊ ಇಲ್ಲವೊ ತಿಳಿಯಗೊಡದೊಂದು ವಸ್ತು ನಿಜ |ಮಹಿಮೆಯಿಂ ಜಗವಾಗಿ ಜೀವವೇಷದಲಿ ||ವಿಹರಿಪುದದೊಳ್ಳಿತೆಂಬುದು ನಿಸದವಾದೊಡಾ |ಗಹನ ತತ್ತ್ವಕೆ ಶರಣೊ - ಮಂಕುತಿಮ್ಮ ||
004,ಏನು ಜೀವನದರ್ಥ? ಏನು ಪ್ರಪಂಚಾರ್ಥ? |ಏನು ಜೀವಪ್ರಪಂಚಗಳ ಸಂಬಂಧ? ||ಕಾಣದಿಲ್ಲಿರ್ಪುದೇನಾನುಮುಂಟೆ? ಅದೇನು? |ಜ್ಞಾನ ಪ್ರಮಾಣವೇಂ? - ಮಂಕುತಿಮ್ಮ ||
005,ದೇವರೆಂಬುದದೇನು ಕಗ್ಗತ್ತಲೆಯ ಗವಿಯೆ? |ನಾವರಿಯಲಾರದೆಲ್ಲದರೊಟ್ಟು ಹೆಸರೆ? ||ಕಾವನೊರ್ವನಿರಲ್ಕೆ ಜಗದ ಕಥೆಯೇಕಿಂತು? |ಸಾವು ಹುಟ್ಟುಗಳೇನು? - ಮಂಕುತಿಮ್ಮ ||
006,ಒಗಟೆಯೇನೀ ಸೃಷ್ಟಿ? ಬಾಳಿನರ್ಥವದೇನು? |ಬಗೆದು ಬಿಡಿಸುವರಾರು ಸೋಜಿಗವನಿದನು? ||ಜಗವ ನಿರವಿಸಿದ ಕೈಯೊಂದಾದೊಡೇಕಿಂತು |ಬಗೆಬಗೆಯ ಜೀವಗತಿ? - ಮಂಕುತಿಮ್ಮ ||
007,ಬದುಕಿಗಾರ್ ನಾಯಕರು; ಏಕನೊ ಅನೇಕರೋ? |ವಿಧಿಯೊ ಪೌರುಷವೊ ಧರುಮವೊ ಅಂಧಬಲವೋ? ||ಕುದುರುವುದದೆಂತು ಈಯವ್ಯವಸ್ಥೆಯ ಪಾಡು? |ಅದಿಗುದಿಯೆ ಗತಿಯೇನೊ? - ಮಂಕುತಿಮ್ಮ ||
008,ಕ್ರಮವೊಂದು ಲಕ್ಷ್ಯವೊಂದುಂಟೇನು ಸೃಷ್ಟಿಯಲಿ? |ಭ್ರಮಿಪುದೇನಾಗಾಗ ಕರ್ತೃವಿನ ಮನಸು? ||ಮಮತೆಯುಳ್ಳವನಾತನಾದೊಡೀ ಜೀವಗಳು |ಶ್ರಮಪಡುವುವೇಕಿಂತು? - ಮಂಕುತಿಮ್ಮ ||
009,ಏನು ಭೈರವಲೀಲೆಯೀ ವಿಶ್ವವಿಭ್ರಮಣೆ! |ಏನು ಭೂತಗ್ರಾಮನರ್ತನೋನ್ಮಾದ! ||ಏನಗ್ನಿ ಗೋಳಗಳು! ಏನಂತರಾಳಗಳು! |ಏನು ವಿಸ್ಮಯ ಸೃಷ್ಟಿ? - ಮಂಕುತಿಮ್ಮ ||
010,ಏನು ಪ್ರಪಂಚವಿದು! ಏನು ಧಾಳಾಧಾಳಿ! |ಏನದ್ಭುತಾಪಾರಶಕ್ತಿನಿರ್ಘಾತ! ||ಮಾನವನ ಗುರಿಯೇನು? ಬೆಲೆಯೇನು? ಮುಗಿವೇನು? |ಏನರ್ಥವಿದಕೆಲ್ಲ? - ಮಂಕುತಿಮ್ಮ ||
011,ಮುತ್ತಿರುವುದಿಂದು ಭೂಮಿಯನೊಂದು ದುರ್ದೈವ |ಮೃತ್ಯು ಕುಣಿಯುತಲಿಹನು ಕೇಕೆಹಾಕುತಲಿ ||ಸುತ್ತಿಪುದು ತಲೆಯನನುದಿನದ ಲೋಕದ ವಾರ್ತೆ |ಎತ್ತಲಿದಕೆಲ್ಲ ಕಡೆ? - ಮಂಕುತಿಮ್ಮ ||
